type,date,source,quantity_gwh
generation,2017-01-01,biomass,3538.84775
generation,2017-02-01,biomass,3309.601
generation,2017-03-01,biomass,3570.5005
generation,2017-04-01,biomass,3422.009
generation,2017-05-01,biomass,3433.31325
generation,2017-06-01,biomass,3213.33925
generation,2017-07-01,biomass,3282.49025
generation,2017-08-01,biomass,3285.939
generation,2017-09-01,biomass,2993.543
generation,2017-10-01,biomass,3290.736
generation,2017-11-01,biomass,3405.4
generation,2017-12-01,biomass,3582.6705
generation,2018-01-01,biomass,3594.8475
generation,2018-02-01,biomass,3260.23275
generation,2018-03-01,biomass,3454.43225
generation,2018-04-01,biomass,3218.78825
generation,2018-05-01,biomass,3364.74225
generation,2018-06-01,biomass,3194.59925
generation,2018-07-01,biomass,3195.82975
generation,2018-08-01,biomass,3246.34775
generation,2018-09-01,biomass,3120.17925
generation,2018-10-01,biomass,3391.40575
generation,2018-11-01,biomass,3490.431
generation,2018-12-01,biomass,3558.62725
generation,2019-01-01,biomass,3614.67475
generation,2019-02-01,biomass,3270.62175
generation,2019-03-01,biomass,3539.61425
generation,2019-04-01,biomass,3388.507
generation,2019-05-01,biomass,3501.31025
generation,2019-06-01,biomass,3240.79225
generation,2019-07-01,biomass,3159.3135
generation,2019-08-01,biomass,3112.2775
generation,2019-09-01,biomass,2991.88275
generation,2019-10-01,biomass,3454.13625
generation,2019-11-01,biomass,3442.799
generation,2019-12-01,biomass,3671.67725
generation,2020-01-01,biomass,3667.9485
generation,2020-02-01,biomass,3388.20775
generation,2020-03-01,biomass,3565.168
generation,2020-04-01,biomass,3396.6635
generation,2020-05-01,biomass,3526.71925
generation,2020-06-01,biomass,3206.333
generation,2020-07-01,biomass,3338.153
generation,2020-08-01,biomass,3286.84525
generation,2020-09-01,biomass,3185.20675
generation,2020-10-01,biomass,3445.07825
generation,2020-11-01,biomass,3335.74425
generation,2020-12-01,biomass,3480.26975
generation,2021-01-01,biomass,3479.254
generation,2021-02-01,biomass,3072.134
generation,2021-03-01,biomass,3405.40975
