country_or_area,commodity_transaction,year,quantity_GWh
Germany,Electricity - Gross production,2020,572666.0
Germany,Electricity - Gross production,2019,606917.0
Germany,Electricity - Gross production,2018,640468.0
Germany,Electricity - Gross production,2017,653723.0
Germany,From combustible fuels – Main activity,2020,250205.0
Germany,From combustible fuels – Main activity,2019,281896.0
Germany,From combustible fuels – Main activity,2018,331660.0
Germany,From combustible fuels – Main activity,2017,348797.0
Germany,From combustible fuels – Main activity – CHP plants,2020,82309.0
Germany,From combustible fuels – Main activity – CHP plants,2019,84463.0
Germany,From combustible fuels – Main activity – CHP plants,2018,86873.0
Germany,From combustible fuels – Main activity – CHP plants,2017,93293.0
Germany,From combustible fuels – Main activity – Electricity plants,2020,167896.0
Germany,From combustible fuels – Main activity – Electricity plants,2019,197433.0
Germany,From combustible fuels – Main activity – Electricity plants,2018,244787.0
Germany,From combustible fuels – Main activity – Electricity plants,2017,255504.0
Germany,Geothermal – Main activity,2020,231.0
Germany,Geothermal – Main activity,2019,197.0
Germany,Geothermal – Main activity,2018,178.0
Germany,Geothermal – Main activity,2017,163.0
Germany,Geothermal – Main activity – Electricity plants,2020,231.0
Germany,Geothermal – Main activity – Electricity plants,2019,197.0
Germany,Geothermal – Main activity – Electricity plants,2018,178.0
Germany,Geothermal – Main activity – Electricity plants,2017,163.0
Germany,Hydro – Main activity,2020,24786.0
Germany,Hydro – Main activity,2019,25573.0
Germany,Hydro – Main activity,2018,23776.0
Germany,Hydro – Main activity,2017,25983.0
Germany,Nuclear – Main activity,2020,64382.0
Germany,Nuclear – Main activity,2019,75071.0
Germany,Nuclear – Main activity,2018,76005.0
Germany,Nuclear – Main activity,2017,76324.0
Germany,Nuclear – Main activity – Electricity plants,2020,64382.0
Germany,Nuclear – Main activity – Electricity plants,2019,75071.0
Germany,Nuclear – Main activity – Electricity plants,2018,76005.0
Germany,Nuclear – Main activity – Electricity plants,2017,76324.0
Germany,From other sources – Main activity,2020,559.0
Germany,From other sources – Main activity,2019,567.0
Germany,From other sources – Main activity,2018,482.0
Germany,From other sources – Main activity,2017,585.0
Germany,From other sources – Main activity – CHP plants,2020,361.0
Germany,From other sources – Main activity – CHP plants,2019,406.0
Germany,From other sources – Main activity – CHP plants,2018,330.0
Germany,From other sources – Main activity – CHP plants,2017,417.0
Germany,From other sources – Main activity – Electricity plants,2020,198.0
Germany,From other sources – Main activity – Electricity plants,2019,161.0
Germany,From other sources – Main activity – Electricity plants,2018,152.0
Germany,From other sources – Main activity – Electricity plants,2017,168.0
Germany,Of which: Pumped hydro – Main activity,2020,6554.0
Germany,Of which: Pumped hydro – Main activity,2019,5940.0
Germany,Of which: Pumped hydro – Main activity,2018,6169.0
Germany,Of which: Pumped hydro – Main activity,2017,6005.0
Germany,Solar – Main activity,2020,48641.0
Germany,Solar – Main activity,2019,44383.0
Germany,Solar – Main activity,2018,43459.0
Germany,Solar – Main activity,2017,39401.0
Germany,Solar photovoltaic – Main activity,2020,48641.0
Germany,Solar photovoltaic – Main activity,2019,44383.0
Germany,Solar photovoltaic – Main activity,2018,43459.0
Germany,Solar photovoltaic – Main activity,2017,39401.0
Germany,Wind – Main activity,2020,132102.0
Germany,Wind – Main activity,2019,125894.0
Germany,Wind – Main activity,2018,109951.0
Germany,Wind – Main activity,2017,105693.0
Germany,From combustible fuels – Autoproducer,2020,50652.0
Germany,From combustible fuels – Autoproducer,2019,52318.0
Germany,From combustible fuels – Autoproducer,2018,53785.0
Germany,From combustible fuels – Autoproducer,2017,55489.0
Germany,From combustible fuels – Autoproducer – CHP plants,2020,34168.0
Germany,From combustible fuels – Autoproducer – CHP plants,2019,34872.0
Germany,From combustible fuels – Autoproducer – CHP plants,2018,35002.0
Germany,From combustible fuels – Autoproducer – CHP plants,2017,39015.0
Germany,From combustible fuels – Autoproducer – Electricity plants,2020,16484.0
