"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Germany","Electricity - Gross production","2020","Kilowatt-hours, million","572666",""
"Germany","Electricity - Gross production","2019","Kilowatt-hours, million","606917",""
"Germany","Electricity - Gross production","2018","Kilowatt-hours, million","640468",""
"Germany","Electricity - Gross production","2017","Kilowatt-hours, million","653723",""
"Germany","From combustible fuels – Main activity","2020","Kilowatt-hours, million","250205",""
"Germany","From combustible fuels – Main activity","2019","Kilowatt-hours, million","281896",""
"Germany","From combustible fuels – Main activity","2018","Kilowatt-hours, million","331660",""
"Germany","From combustible fuels – Main activity","2017","Kilowatt-hours, million","348797",""
"Germany","From combustible fuels – Main activity – CHP plants","2020","Kilowatt-hours, million","82309",""
"Germany","From combustible fuels – Main activity – CHP plants","2019","Kilowatt-hours, million","84463",""
"Germany","From combustible fuels – Main activity – CHP plants","2018","Kilowatt-hours, million","86873",""
"Germany","From combustible fuels – Main activity – CHP plants","2017","Kilowatt-hours, million","93293",""
"Germany","From combustible fuels – Main activity – Electricity plants","2020","Kilowatt-hours, million","167896",""
"Germany","From combustible fuels – Main activity – Electricity plants","2019","Kilowatt-hours, million","197433",""
"Germany","From combustible fuels – Main activity – Electricity plants","2018","Kilowatt-hours, million","244787",""
"Germany","From combustible fuels – Main activity – Electricity plants","2017","Kilowatt-hours, million","255504",""
"Germany","Geothermal – Main activity","2020","Kilowatt-hours, million","231",""
"Germany","Geothermal – Main activity","2019","Kilowatt-hours, million","197",""
"Germany","Geothermal – Main activity","2018","Kilowatt-hours, million","178",""
"Germany","Geothermal – Main activity","2017","Kilowatt-hours, million","163",""
"Germany","Geothermal – Main activity – Electricity plants","2020","Kilowatt-hours, million","231",""
"Germany","Geothermal – Main activity – Electricity plants","2019","Kilowatt-hours, million","197",""
"Germany","Geothermal – Main activity – Electricity plants","2018","Kilowatt-hours, million","178",""
"Germany","Geothermal – Main activity – Electricity plants","2017","Kilowatt-hours, million","163",""
"Germany","Hydro – Main activity","2020","Kilowatt-hours, million","24786",""
"Germany","Hydro – Main activity","2019","Kilowatt-hours, million","25573",""
"Germany","Hydro – Main activity","2018","Kilowatt-hours, million","23776",""
"Germany","Hydro – Main activity","2017","Kilowatt-hours, million","25983",""
"Germany","Nuclear – Main activity","2020","Kilowatt-hours, million","64382",""
"Germany","Nuclear – Main activity","2019","Kilowatt-hours, million","75071",""
"Germany","Nuclear – Main activity","2018","Kilowatt-hours, million","76005",""
"Germany","Nuclear – Main activity","2017","Kilowatt-hours, million","76324",""
"Germany","Nuclear – Main activity – Electricity plants","2020","Kilowatt-hours, million","64382",""
"Germany","Nuclear – Main activity – Electricity plants","2019","Kilowatt-hours, million","75071",""
"Germany","Nuclear – Main activity – Electricity plants","2018","Kilowatt-hours, million","76005",""
"Germany","Nuclear – Main activity – Electricity plants","2017","Kilowatt-hours, million","76324",""
"Germany","From other sources – Main activity","2020","Kilowatt-hours, million","559",""
"Germany","From other sources – Main activity","2019","Kilowatt-hours, million","567",""
"Germany","From other sources – Main activity","2018","Kilowatt-hours, million","482",""
"Germany","From other sources – Main activity","2017","Kilowatt-hours, million","585",""
"Germany","From other sources – Main activity – CHP plants","2020","Kilowatt-hours, million","361",""
"Germany","From other sources – Main activity – CHP plants","2019","Kilowatt-hours, million","406",""
"Germany","From other sources – Main activity – CHP plants","2018","Kilowatt-hours, million","330",""
"Germany","From other sources – Main activity – CHP plants","2017","Kilowatt-hours, million","417",""
"Germany","From other sources – Main activity – Electricity plants","2020","Kilowatt-hours, million","198",""
"Germany","From other sources – Main activity – Electricity plants","2019","Kilowatt-hours, million","161",""
"Germany","From other sources – Main activity – Electricity plants","2018","Kilowatt-hours, million","152",""
"Germany","From other sources – Main activity – Electricity plants","2017","Kilowatt-hours, million","168",""
"Germany","Of which: Pumped hydro – Main activity","2020","Kilowatt-hours, million","6554",""
"Germany","Of which: Pumped hydro – Main activity","2019","Kilowatt-hours, million","5940",""
"Germany","Of which: Pumped hydro – Main activity","2018","Kilowatt-hours, million","6169",""
"Germany","Of which: Pumped hydro – Main activity","2017","Kilowatt-hours, million","6005",""
"Germany","Solar – Main activity","2020","Kilowatt-hours, million","48641",""
"Germany","Solar – Main activity","2019","Kilowatt-hours, million","44383",""
"Germany","Solar – Main activity","2018","Kilowatt-hours, million","43459",""
"Germany","Solar – Main activity","2017","Kilowatt-hours, million","39401",""
"Germany","Solar photovoltaic – Main activity","2020","Kilowatt-hours, million","48641",""
