Date;Start;End;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2017;12:00 AM;12:00 AM;47,301,200.25;38,734,939.25;778,529.5
Feb 1, 2017;12:00 AM;12:00 AM;42,100,201;30,741,216;744,737.25
Mar 1, 2017;12:00 AM;12:00 AM;44,319,006;31,757,112.5;811,232.5
Apr 1, 2017;12:00 AM;12:00 AM;39,933,859.5;27,992,924.75;748,242
May 1, 2017;12:00 AM;12:00 AM;41,034,028.75;30,271,544.75;703,380.75
Jun 1, 2017;12:00 AM;12:00 AM;39,360,481.25;26,888,822;666,934.5
Jul 1, 2017;12:00 AM;12:00 AM;40,478,579.5;30,097,953;576,968.75
Aug 1, 2017;12:00 AM;12:00 AM;40,131,363;30,018,242.25;600,534.5
Sep 1, 2017;12:00 AM;12:00 AM;39,909,208.25;30,518,083.75;658,390
Oct 1, 2017;12:00 AM;12:00 AM;42,373,252.25;27,709,514.5;758,191
Nov 1, 2017;12:00 AM;12:00 AM;44,097,291.5;32,960,207.5;662,325
Dec 1, 2017;12:00 AM;12:00 AM;44,636,235.25;29,496,723;1,168,663.25
Jan 1, 2018;12:00 AM;12:00 AM;46,464,103.75;31,346,214;1,230,616.5
Feb 1, 2018;12:00 AM;12:00 AM;42,926,178.75;33,167,974.25;885,309
Mar 1, 2018;12:00 AM;12:00 AM;45,997,242.25;32,676,822.25;1,086,416.5
Apr 1, 2018;12:00 AM;12:00 AM;40,222,134;26,487,042.25;1,276,216.5
May 1, 2018;12:00 AM;12:00 AM;40,544,870.25;27,396,575.5;1,168,478.25
Jun 1, 2018;12:00 AM;12:00 AM;40,324,982;29,249,017.5;885,468.25
Jul 1, 2018;12:00 AM;12:00 AM;40,943,904.5;30,380,831;685,592.25
Aug 1, 2018;12:00 AM;12:00 AM;41,211,189.25;29,960,503.5;880,725.5
Sep 1, 2018;12:00 AM;12:00 AM;40,213,865.75;28,232,829.75;1,081,158.5
Oct 1, 2018;12:00 AM;12:00 AM;43,183,490;29,713,248;1,128,283.5
Nov 1, 2018;12:00 AM;12:00 AM;43,560,360.25;32,406,582.25;976,825.75
