Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2017;12:00 AM;12:00 AM;3,538,847.75;857,085.75;1,230,811.25;6,537,027.5;798,422.25;143,007.75;5,724,510.75;11,680,618.25;9,528,848.25;3,726,353.75;943,923.5;5,849,799.75
Feb 1, 2017;12:00 AM;12:00 AM;3,309,601;893,765.25;1,899,418.75;7,974,597.25;1,484,969;169,841;4,543,553.5;10,507,497.25;7,034,393.75;2,522,128;728,857.75;4,897,134.75
Mar 1, 2017;12:00 AM;12:00 AM;3,570,500.5;1,237,295.25;1,487,019.75;7,844,275.25;3,230,598.5;168,431.5;4,850,962.25;11,530,155.25;5,885,619.25;2,191,162.75;850,219.75;4,542,777
Apr 1, 2017;12:00 AM;12:00 AM;3,422,009;1,155,622.5;1,395,689.25;6,688,391.75;3,856,853.75;158,481.25;4,764,289;10,910,745.75;4,581,378.5;1,787,657.5;800,464;3,344,311
May 1, 2017;12:00 AM;12:00 AM;3,433,313.25;1,510,106;1,207,361;4,434,810.75;5,120,312.25;148,759.25;5,649,988.5;10,874,074;5,433,327.25;1,773,670.5;796,230.5;3,483,117.25
Jun 1, 2017;12:00 AM;12:00 AM;3,213,339.25;1,502,296.5;1,248,287.5;5,856,511.25;5,366,860.5;118,589.25;6,348,389.5;10,125,064.75;3,829,719.25;1,655,950.75;832,773;3,102,478.25
Jul 1, 2017;12:00 AM;12:00 AM;3,282,490.25;1,512,125.5;934,912;4,559,375;4,886,339.5;118,032.75;5,345,076.75;10,364,437.75;4,499,046;2,176,392.25;659,757;3,939,138.5
Aug 1, 2017;12:00 AM;12:00 AM;3,285,939;1,545,120;1,124,716.5;4,385,616.5;4,602,787.75;131,727;7,091,594.75;11,198,091;4,013,503.5;1,254,043;715,258.25;3,172,612.5
Sep 1, 2017;12:00 AM;12:00 AM;2,993,543;1,492,583.5;1,009,553.75;5,302,283.5;3,079,287.25;127,616.5;6,388,132;10,481,485.25;5,796,292.75;1,638,236.5;740,160.5;3,855,589
Oct 1, 2017;12:00 AM;12:00 AM;3,290,736;1,293,249;2,210,471.75;10,322,949.5;2,130,316.5;143,833.25;7,361,700;10,328,134.75;4,263,341.5;1,884,663.75;825,513.25;3,612,477
